open,close,high,low,volume,price_change,price_limit,volume_change,volume_limit,amplitude,difference,time
144.69,143.25,150,138,256877,-1.05,-0.007276507,237220,12.06796561,0.083160083,-0.00997921,2021/1/26 21:08
143.67,146.17,146.78,143.67,41721,2.92,0.020383944,-215156,-0.837583746,0.021710297,0.017452007,2021/1/26 21:09
145.2,146,146.5,144.35,35894,-0.17,-0.001163029,-5827,-0.139665876,0.014708901,0.005473079,2021/1/26 21:10
145.99,147.55,147.6,145.5,38931,1.55,0.010616438,3037,0.084610241,0.014383562,0.010684932,2021/1/26 21:11
147.55,158,159.23,147.55,288716,10.45,0.07082345,249785,6.416095143,0.079159607,0.07082345,2021/1/26 21:12
157.6,166.46,167.69,156.13,229345,8.46,0.053544304,-59371,-0.205638066,0.073164557,0.056075949,2021/1/26 21:13
166.46,165.11,166.5,160,132060,-1.35,-0.008110056,-97285,-0.42418627,0.03904842,-0.008110056,2021/1/26 21:14
165.06,169.5,169.5,162,169711,4.39,0.026588335,37651,0.285105255,0.045424263,0.026891163,2021/1/26 21:15
169.05,170.8,172.36,164,183245,1.3,0.007669617,13534,0.079747335,0.049321534,0.010324484,2021/1/26 21:16
170.5,178.92,179,170.5,247302,8.12,0.047540984,64057,0.349570247,0.049765808,0.049297424,2021/1/26 21:17
178.91,188.98,190,177.16,310230,10.06,0.056226246,62928,0.254458112,0.071763917,0.056282137,2021/1/26 21:18
188.24,183,194.5,183,358535,-5.98,-0.03164356,48305,0.155707056,0.060853,-0.027727802,2021/1/26 21:19
184,180.01,190,178.5,223656,-2.99,-0.016338798,-134879,-0.376194793,0.06284153,-0.021803279,2021/1/26 21:20
180.01,176.9,181.69,175.63,259723,-3.11,-0.017276818,36067,0.161261044,0.033664796,-0.017276818,2021/1/26 21:21
177.58,178,181.67,176,144832,1.1,0.006218202,-114891,-0.442359745,0.032052007,0.002374223,2021/1/26 21:22
178,175.2,178,173.22,151979,-2.8,-0.015730337,7147,0.049346829,0.026853933,-0.015730337,2021/1/26 21:23
175.13,176.2,178,173.57,100151,1,0.005707763,-51828,-0.341020799,0.025285388,0.006107306,2021/1/26 21:24
176.11,179.11,179.38,147.98,229174,2.91,0.016515323,129023,1.28828469,0.178206583,0.017026107,2021/1/26 21:25
178.01,177.0001,179.33,175,82543,-2.1099,-0.011779912,-146631,-0.639823889,0.024175088,-0.005638434,2021/1/26 21:26
177.09,178,179,176.55,71689,0.9999,0.005649149,-10854,-0.1314951,0.0138418,0.00514124,2021/1/26 21:27
177.5,185.64,186,176,238697,7.64,0.042921348,167008,2.329618212,0.056179775,0.045730337,2021/1/26 21:28
185.1001,184.29,187,183,204063,-1.35,-0.00727214,-34634,-0.145096084,0.02154708,-0.004363822,2021/1/26 21:29
184.99,187.19,189,184.31,158151,2.9,0.015736068,-45912,-0.224989342,0.025449021,0.011937707,2021/1/26 21:30
187.17,185.77,188.5,185.12,150666,-1.42,-0.007585875,-7485,-0.047328186,0.01805652,-0.007479032,2021/1/26 21:31
185.72,183,186.34,180.01,117250,-2.77,-0.014910911,-33416,-0.221788592,0.034074393,-0.014641761,2021/1/26 21:32
183,187.8,187.8,183,90408,4.8,0.026229508,-26842,-0.228929638,0.026229508,0.026229508,2021/1/26 21:33
187,194.58,194.9999,187,295590,6.78,0.036102236,205182,2.269511548,0.042597977,0.040362087,2021/1/26 21:34
194.98,197.05,198,193.93,259829,2.47,0.012694008,-35761,-0.120981765,0.020916847,0.010638298,2021/1/26 21:35
197.24,205.0001,208,197,430765,7.9501,0.040345598,170936,0.657878836,0.055823395,0.039381375,2021/1/26 21:36
205,216.34,220,204,368603,11.3399,0.055316558,-62162,-0.14430606,0.078048742,0.055317046,2021/1/26 21:37
217.31,228.9999,234.95,215,450402,12.6599,0.058518536,81799,0.221916262,0.092215956,0.054034853,2021/1/26 21:38
228,231.99,244,226.98,419644,2.9901,0.013057211,-30758,-0.068290105,0.074323177,0.017423588,2021/1/26 21:39
230.5,205,234.81,201.68,377569,-26.99,-0.116341222,-42075,-0.100263557,0.14280788,-0.109918531,2021/1/26 21:40
205.01,217,217,201.74,261232,12,0.058536585,-116337,-0.308121165,0.074439024,0.058487805,2021/1/26 21:41
216.98,201.42,217,194.8,358040,-15.58,-0.071797235,96808,0.370582471,0.102304147,-0.071705069,2021/1/26 21:42
202.1,204,209.99,199,178353,2.58,0.012809056,-179687,-0.50186292,0.054562606,0.009433026,2021/1/26 21:43
204,201,205,196.8,137083,-3,-0.014705882,-41270,-0.231395042,0.040196078,-0.014705882,2021/1/26 21:44
